# Molecule: CO2                     
# Box 1                   Boltzmann             Biased
   0.3994546386E+002   0.9679078868E+003   0.9665919373E+003
   0.4095637108E+002   0.9684532380E+003   0.9671384910E+003
   0.4196727831E+002   0.9689974671E+003   0.9676841286E+003
   0.4297818554E+002   0.9695405186E+003   0.9682288063E+003
   0.4398909277E+002   0.9700823317E+003   0.9687724738E+003
   0.4500000000E+002   0.9706228404E+003   0.9693150745E+003
   0.4601090723E+002   0.9711619742E+003   0.9698565458E+003
   0.4702181446E+002   0.9716996578E+003   0.9703968194E+003
   0.4803272169E+002   0.9722358122E+003   0.9709358215E+003
   0.4904362892E+002   0.9727703543E+003   0.9714734732E+003
   0.5005453614E+002   0.9733031979E+003   0.9720096908E+003


# Box 2                   Boltzmann             Biased
   0.4439612414E+002   0.6116584018E+002   0.6123403575E+002
   0.4451689932E+002   0.6138318177E+002   0.6144972879E+002
   0.4463767449E+002   0.6160065967E+002   0.6166550700E+002
   0.4475844966E+002   0.6181823707E+002   0.6188130603E+002
   0.4487922483E+002   0.6203588607E+002   0.6209707020E+002
   0.4500000000E+002   0.6225358672E+002   0.6231275143E+002
   0.4512077517E+002   0.6247132599E+002   0.6252830815E+002
   0.4524155034E+002   0.6268909680E+002   0.6274370418E+002
   0.4536232551E+002   0.6290689692E+002   0.6295890753E+002
   0.4548310068E+002   0.6312472790E+002   0.6317388928E+002
   0.4560387586E+002   0.6334259396E+002   0.6338862240E+002


# Molecule: AR                      
# Box 1                   Boltzmann             Biased
   0.3994546386E+002   0.4595938751E+002   0.4609493301E+002
   0.4095637108E+002   0.4583470081E+002   0.4597314561E+002
   0.4196727831E+002   0.4570934097E+002   0.4585051179E+002
   0.4297818554E+002   0.4558335055E+002   0.4572707241E+002
   0.4398909277E+002   0.4545677453E+002   0.4560287114E+002
   0.4500000000E+002   0.4532966016E+002   0.4547795436E+002
   0.4601090723E+002   0.4520205678E+002   0.4535237099E+002
   0.4702181446E+002   0.4507401565E+002   0.4522617234E+002
   0.4803272169E+002   0.4494558975E+002   0.4509941198E+002
   0.4904362892E+002   0.4481683359E+002   0.4497214549E+002
   0.5005453614E+002   0.4468780296E+002   0.4484443033E+002


# Box 2                   Boltzmann             Biased
   0.4439612414E+002   0.4736669259E+002   0.4742677589E+002
   0.4451689932E+002   0.4754569865E+002   0.4760505918E+002
   0.4463767449E+002   0.4772500069E+002   0.4778353217E+002
   0.4475844966E+002   0.4790457014E+002   0.4796215006E+002
   0.4487922483E+002   0.4808438450E+002   0.4814087366E+002
   0.4500000000E+002   0.4826442672E+002   0.4831966874E+002
   0.4512077517E+002   0.4844468459E+002   0.4849850540E+002
   0.4524155034E+002   0.4862515007E+002   0.4867735735E+002
   0.4536232551E+002   0.4880581865E+002   0.4885620128E+002
   0.4548310068E+002   0.4898668872E+002   0.4903501606E+002
   0.4560387586E+002   0.4916776088E+002   0.4921378215E+002


