Simulation state at cycle:     200000
##############################################################################                                           

Number-of-molecules: 1002  

Box-size(s):    34.878965   52.773883

------------------------------------------------------------------------------                                           

Deltas
Translation per molecule type
Box 1    0.7915545860E+000   0.1276318506E+001
Box 2    0.3582483157E+001   0.1194249057E+002

Rotation per molecule type
Box 1    0.4707516445E+002   0.9000000000E+002
Box 2    0.1800000000E+003   0.1800000000E+003

Volume    Delta_Volume
Box 1   0.7464052277E+003
Box 2   0.7711368131E+004

------------------------------------------------------------------------------                                           

Molecules in box 1
##############################################################################                                           
Moleculetype  1
Number-of-molecules: 471   
Atomtype         X                  Y                   Z
  2       25.4404486903       21.7535551951       14.4445478731
  3       25.4474612009       21.9348542180       15.5902710024
  2       25.4544737115       22.1161532409       16.7359941316
  2       -0.1247491716       10.5393797756       13.9610729127
  3        0.8623658738        9.9312660316       13.9236354772
  2        1.8494809191        9.3231522876       13.8861980417
  2       26.3123798679        8.6590866020       20.7714463451
  3       26.9906659488        7.9226878520       21.3573173835
  2       27.6689520295        7.1862891020       21.9431884218
  2       18.3209096482        6.1674970731        3.1336408995
  3       17.2578569487        6.2203884374        2.6724235301
  2       16.1948042494        6.2732798016        2.2112061606
  2       15.5097085035       11.9663098906       29.1606833968
  3       15.7089024247       12.7392306762       28.3189499229
  2       15.9080963459       13.5121514617       27.4772164490
  2       12.0484452853       31.1353454626       31.4701024486
  3       12.7261250330       31.2971266252       32.3975597333
  2       13.4038047807       31.4589077877       33.3250170181
  2        6.1266138594       10.7658386932       31.4768170661
  3        5.5516589846       10.7581946136       32.4842734969
  2        4.9767041097       10.7505505340       33.4917299276
  2       26.9900065663       20.2210464858        1.1102523748
  3       26.2481039089       21.0020300494        1.5406534904
  2       25.5062012514       21.7830136130        1.9710546059
  2       13.0387561310       20.7893779516       12.2372090619
  3       12.6561472123       19.9956069660       12.9916214410
  2       12.2735382936       19.2018359805       13.7460338201
  2       17.3056776344       15.0533400459       10.6102384315
  3       17.2985989339       14.2167242538       11.4137456861
  2       17.2915202333       13.3801084616       12.2172529408
  2       28.2699514977       29.4934726462        8.0074427506
  3       28.2990403003       29.2438900888        6.8749841913
  2       28.3281291029       28.9943075315        5.7425256319
  2       31.6877552069       14.5509811000       29.4225235705
  3       31.1915137787       14.4431519311       30.4654604407
  2       30.6952723505       14.3353227623       31.5083973109
  2        5.9619300526        6.4456135791       33.0670924912
  3        6.5118259171        7.3812107070       33.4768150221
  2        7.0617217816        8.3168078350       33.8865375531
  2       15.5722160440        4.1724196925        7.4429630934
  3       15.5271904983        4.4041930960        6.3072457916
  2       15.4821649525        4.6359664994        5.1715284897
  2       20.5074392195       21.8260814451       28.5784061516
  3       20.6097921713       22.2047195281       29.6700824201
  2       20.7121451229       22.5833576112       30.7617586888
  2        3.7061293322       32.1255800896       10.4789839914
  3        3.9468919449       32.7568694761        9.5360592464
  2        4.1876545574       33.3881588626        8.5931345014
  2        6.2214362733       22.4181898966       35.2698846271
  3        5.9612114542       21.8317784045       34.3034454901
  2        5.7009866351       21.2453669125       33.3370063531
  2       29.4922049774       17.2687141567       28.0798003571
  3       29.7191703185       17.5844280471       26.9869090207
  2       29.9461356596       17.9001419375       25.8940176842
  2       19.0224615413       11.5143736865        2.9146645750
  3       19.2201958156       12.5673699271        3.3592993396
  2       19.4179300899       13.6203661678        3.8039341042
  2        2.1192858420       16.2745715100       20.2869826296
  3        2.2437858275       15.2601956615       20.8357461411
  2        2.3682858129       14.2458198130       21.3845096527
  2        1.6288789627        0.9230026535       22.1885050603
  3        0.5526653187        1.0628743670       21.7788709598
  2       -0.5235483253        1.2027460805       21.3692368594
  2       20.7845332452       34.1831886711       20.6606381336
  3       21.3348037159       33.6079356289       19.8169045582
  2       21.8850741866       33.0326825867       18.9731709826
  2       18.1987005284        8.2719540327       14.3053240844
  3       17.3048887152        8.6756797030       13.6858839939
  2       16.4110769020        9.0794053733       13.0664439034
  2        7.1444933983        0.8789427321       11.1481121729
  3        7.0923037206        1.9471416520       11.5973641122
  2        7.0401140429        3.0153405719       12.0466160515
  2       34.6443168223       16.9720786667       10.5935692580
  3       33.4923449754       17.0448574094       10.4783993020
  2       32.3403731286       17.1176361521       10.3632293460
  2       20.8655548795        4.1686442352       32.4026396150
  3       20.8787910417        3.4309892416       33.2977875996
  2       20.8920272038        2.6933342480       34.1929355843
  2       11.4361361670       25.3519713727        6.2028174350
  3       12.2356589779       25.4494379951        7.0376009592
  2       13.0351817888       25.5469046175        7.8723844835
  2        4.9169843900       18.9986853949       26.5185353026
  3        5.6602235761       19.8531111864       26.7698360767
  2        6.4034627622       20.7075369779       27.0211368507
  2       32.4043830304        5.6030506288       22.0200221208
  3       32.5414576660        6.7521737376       21.9404820363
  2       32.6785323017        7.9012968464       21.8609419518
  2        9.9929393769       27.5468059480       13.6032738251
  3       10.4044683525       26.4885714498       13.8407262392
  2       10.8159973281       25.4303369515       14.0781786532
  2       29.2873101816       25.9661575345        3.7235390622
  3       28.3936233780       25.7861254210        3.0062439101
  2       27.4999365743       25.6060933075        2.2889487581
  2        0.8552345677        4.7551036589       12.7449986758
  3        1.4097944510        3.7386082968       12.8142844215
  2        1.9643543344        2.7221129346       12.8835701670
  2       31.6900004133       20.7145243393       20.1981374922
  3       30.5961115421       20.6878725748       19.8130442295
  2       29.5022226709       20.6612208103       19.4279509668
  2        4.0326768576        4.6141455622       11.7292209422
  3        4.9687083555        5.0127099247       11.1719135908
  2        5.9047398534        5.4112742872       10.6146062393
  2       23.6483892971       24.9235040961       14.8437204519
  3       23.2357525153       24.2248535409       15.6727067533
  2       22.8231157334       23.5262029857       16.5016930547
  2        0.7957330112       21.5329373791        6.7437607560
  3        1.0329605048       20.6933641358        5.9792740750
  2        1.2701879984       19.8537908924        5.2147873941
  2       25.7957061463       18.5917113584        3.3082710974
  3       25.9701401198       17.5327322842        3.7484257398
  2       26.1445740934       16.4737532100        4.1885803824
  2       19.7571770558        2.9854267700       11.4545316319
  3       19.1417989203        3.6415570772       12.1869268601
  2       18.5264207849        4.2976873845       12.9193220884
  2        2.7120036126       31.9609397918       34.4306894249
  3        2.0060278045       31.0489236588       34.3064930825
  2        1.3000519962       30.1369075259       34.1822967400
  2       10.5477403907       20.9020828179       10.4340597578
  3       10.9294057865       20.3811304819        9.4704518556
  2       11.3110711823       19.8601781460        8.5068439534
  2        5.5535421701       31.2768342795       23.4981272063
  3        5.3198781407       32.4103980158       23.5758084594
  2        5.0862141114       33.5439617521       23.6534897124
  2       23.5376695919       31.1102358913       16.9094962222
  3       23.1780851340       30.5788072634       17.8758722520
  2       22.8185006760       30.0473786355       18.8422482819
  2       28.7689463737        6.4357524512       18.9238552595
  3       28.9549399281        5.5539714027       19.6542445942
  2       29.1409334824        4.6721903542       20.3846339290
  2        5.7460889000       28.8815131463       19.9116263444
  3        5.8720682595       28.2330016286       18.9581264689
  2        5.9980476191       27.5844901109       18.0046265935
  2       25.7656917203       11.1388064919       31.4193536841
  3       24.6203130010       11.3135211121       31.4757663677
  2       23.4749342817       11.4882357322       31.5321790511
  2       14.0760546537        1.3243092874       27.1012772890
  3       14.3934154754        0.6328725997       27.9769469847
  2       14.7107762971       -0.0585640880       28.8526166802
  2       14.3684394219        0.5758778145       33.8611726773
  3       15.0975904267        0.6497892921       34.7603255596
  2       15.8267414315        0.7237007697       35.6594784419
