# Molecule: CO2                     
# Box 1                   Boltzmann             Biased
   0.3944405550E-002   0.8306236275E+003   0.8281449156E+003
   0.3946038274E-002   0.8309285111E+003   0.8284697023E+003
   0.3947670998E-002   0.8312003878E+003   0.8287625775E+003
   0.3949303722E-002   0.8314431219E+003   0.8290275434E+003
   0.3950936446E-002   0.8316608867E+003   0.8292688607E+003
   0.3952569170E-002   0.8318580635E+003   0.8294909417E+003
   0.3954201894E-002   0.8320391356E+003   0.8296982426E+003
   0.3955834618E-002   0.8322085831E+003   0.8298951595E+003
   0.3957467342E-002   0.8323707827E+003   0.8300859335E+003
   0.3959100066E-002   0.8325299180E+003   0.8302745677E+003
   0.3960732790E-002   0.8326899020E+003   0.8304647596E+003


# Box 2                   Boltzmann             Biased
  -0.6525368511E-001                 NaN                 NaN
  -0.5141243425E-001                 NaN                 NaN
  -0.3757118340E-001                 NaN                 NaN
  -0.2372993254E-001                 NaN                 NaN
  -0.9888681685E-002                 NaN                 NaN
   0.3952569170E-002   0.8905237918E+002   0.8874571282E+002
   0.1779382003E-001                 NaN                 NaN
   0.3163507088E-001                 NaN                 NaN
   0.4547632174E-001                 NaN                 NaN
   0.5931757259E-001                 NaN                 NaN
   0.7315882345E-001                 NaN                 NaN


# Molecule: AR                      
# Box 1                   Boltzmann             Biased
   0.3944405550E-002   0.1337171651E+003   0.1345310276E+003
   0.3946038274E-002   0.1338970410E+003   0.1347051972E+003
   0.3947670998E-002   0.1340979391E+003   0.1348991595E+003
   0.3949303722E-002   0.1343178457E+003   0.1351108206E+003
   0.3950936446E-002   0.1345544968E+003   0.1353378677E+003
   0.3952569170E-002   0.1348054344E+003   0.1355778282E+003
   0.3954201894E-002   0.1350680671E+003   0.1358281326E+003
   0.3955834618E-002   0.1353397339E+003   0.1360861783E+003
   0.3957467342E-002   0.1356177673E+003   0.1363493896E+003
   0.3959100066E-002   0.1358995530E+003   0.1366152741E+003
   0.3960732790E-002   0.1361825839E+003   0.1368814702E+003


# Box 2                   Boltzmann             Biased
  -0.6525368511E-001                 NaN                 NaN
  -0.5141243425E-001                 NaN                 NaN
  -0.3757118340E-001                 NaN                 NaN
  -0.2372993254E-001                 NaN                 NaN
  -0.9888681685E-002                 NaN                 NaN
   0.3952569170E-002   0.1370958145E+003   0.1372780929E+003
   0.1779382003E-001                 NaN                 NaN
   0.3163507088E-001                 NaN                 NaN
   0.4547632174E-001                 NaN                 NaN
   0.5931757259E-001                 NaN                 NaN
   0.7315882345E-001                 NaN                 NaN


